"No.","Time","Source","Destination","Protocol","Length","Info"
"54","3.059329","2800:3f0:4001:832::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"55","3.059952","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","93","Protected Payload (KP0), DCID=f27cac3b1b977e43"
"56","3.060167","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  63671 Len=26"
"57","3.060167","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","113","443  >  63671 Len=51"
"58","3.060167","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","93","443  >  64735 Len=31"
"59","3.060167","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","87","443  >  64735 Len=25"
"60","3.060167","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","95","443  >  64735 Len=33"
"61","3.060167","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  63671 Len=23"
"62","3.060578","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","100","63671  >  443 Len=38"
"63","3.071151","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","648","443  >  64735 Len=586"
"64","3.071635","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","100","64735  >  443 Len=38"
"65","3.072421","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  64735 Len=24"
"66","3.073430","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"67","3.079637","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","600","443  >  64735 Len=538"
"68","3.079895","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","100","64735  >  443 Len=38"
"69","3.080526","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  64735 Len=24"
"70","3.086850","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","94","Protected Payload (KP0), DCID=f27cac3b1b977e43"
"71","3.088072","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","598","443  >  64735 Len=536"
"72","3.088072","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  64735 Len=24"
"73","3.088335","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","100","64735  >  443 Len=38"
"74","3.089471","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","1292","Initial, DCID=3bc94d3dd57b7dba, PKN: 1, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PING, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO"
"75","3.089727","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:803::2003","QUIC","142","0-RTT, DCID=3bc94d3dd57b7dba"
"76","3.092713","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1287","443  >  63671 Len=1225"
"77","3.092986","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","100","63671  >  443 Len=38"
"78","3.095619","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
"79","3.097068","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1203","443  >  63671 Len=1141"
"80","3.101733","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","95","64735  >  443 Len=33"
"81","3.108828","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","95","63671  >  443 Len=33"
"82","3.111661","2800:3f0:4001:82b::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"83","3.115840","2800:3f0:4001:832::200a","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","182","Protected Payload (KP0)"
"84","3.119397","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1286","443  >  63671 Len=1224"
"85","3.125194","2800:3f0:4001:820::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  63671 Len=1230"
