"No.","Time","Source","Destination","Protocol","Length","Info"
"11428","86.587738","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","98","56181  >  443 Len=36"
"11429","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11430","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11431","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11432","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11433","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11434","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11435","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11436","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11437","86.588194","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11438","86.589971","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11439","86.589971","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11440","86.589971","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11441","86.589971","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11442","86.590197","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","97","56181  >  443 Len=35"
"11443","86.592424","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2804:29b8:1001:f::8","UDP","98","56181  >  443 Len=36"
"11444","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11445","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11446","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11447","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11448","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11449","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11450","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11451","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11452","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11453","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11454","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
"11455","86.637446","2804:29b8:1001:f::8","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","1292","443  >  56181 Len=1230"
