"No.","Time","Source","Destination","Protocol","Length","Info"
"63","1.819362","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","689","443  >  54970 Len=627"
"64","1.819362","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","232","443  >  54970 Len=170"
"65","1.819603","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","97","54970  >  443 Len=35"
"66","1.821991","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","593","443  >  55710 Len=531"
"67","1.821991","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"68","1.822412","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"69","1.824389","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","571","443  >  55710 Len=509"
"70","1.824664","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"71","1.824945","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"72","1.837925","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","92","443  >  55710 Len=30"
"73","1.838187","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","94","55710  >  443 Len=32"
"74","1.845660","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","94","54970  >  443 Len=32"
"75","1.863688","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Initial, SCID=fc4e8b4a86d13764, PKN: 1, ACK, PADDING"
"76","1.866770","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","107","443  >  54970 Len=45"
"77","1.867058","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","97","54970  >  443 Len=35"
"78","1.868338","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","83","443  >  54970 Len=21"
"79","1.875935","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  55710 Len=24"
"80","1.886527","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","1292","Protected Payload (KP0)"
"81","1.886649","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","858","Protected Payload (KP0)"
"82","1.886649","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","224","Protected Payload (KP0)"
"83","1.886649","2800:3f0:4001:808::2016","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","QUIC","86","Protected Payload (KP0)"
"84","1.887054","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","140","Handshake, DCID=fc4e8b4a86d13764"
"85","1.887195","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","93","Protected Payload (KP0), DCID=fc4e8b4a86d13764"
"86","1.889925","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","571","443  >  55710 Len=509"
"87","1.889925","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"88","1.890259","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"89","1.893662","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","94","54970  >  443 Len=32"
"90","1.896030","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  54970 Len=24"
"91","1.909758","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","571","443  >  55710 Len=509"
"92","1.909758","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"93","1.910056","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"94","1.910912","192.168.0.14","34.130.135.16","TCP","54","58906  >  443 [FIN, ACK] Seq=1 Ack=2 Win=512 Len=0"
"95","1.910988","192.168.0.14","34.130.135.16","TCP","54","58906  >  443 [RST, ACK] Seq=2 Ack=2 Win=0 Len=0"
"96","1.911369","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2003","TCP","86","58952  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"97","1.913933","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","94","Protected Payload (KP0), DCID=fc4e8b4a86d13764"
"98","1.914255","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","571","443  >  55710 Len=509"
"99","1.914703","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
